frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas
119,144480,33457.0,113753052,9984882,33327291,3080908,41179928,144480,53373,6890558,10197107,1574378,48311,697668,2600640
120,144480,32698.5,111174560,9746576,32631117,2955826,40308681,144480,53694,6730278,9878995,1552898,48364,698756,2600640
121,144480,33866.2,115145080,10156786,33959386,3146405,41490094,144480,53706,7069481,10451635,1658675,48421,700104,2600640
122,144480,38549.9,131069153,10174160,36473650,4442676,50656700,144480,53580,7699786,11168799,1885223,48481,700851,2600640
123,144480,32655.3,111027136,9807572,32597561,2970713,40108027,144480,53680,6815484,9872250,1569348,48574,701697,2600640
124,144480,32670.2,111078142,9737464,32670112,2979441,40204928,144480,53886,6778665,9972400,1546242,48670,704037,2600640
125,144480,32996.6,112188168,9808150,33009291,3009334,40585968,144480,53707,6825615,10175518,1559024,48709,704122,2600640
126,144480,37325.8,126907244,9896890,34827015,4372754,49860907,144480,53487,7141403,10705298,1692090,48849,706053,2600640
127,144480,32617.6,110899398,9725904,32623516,2970018,40052300,144480,53900,6733487,10011007,1569256,48979,707702,2600640
128,144480,37449.7,127329016,9968256,34832342,4493592,49842412,144480,53774,7111831,10641627,1656894,49033,708850,2600640
129,144480,37434.9,127278424,10037378,34993281,4355759,49766638,144480,53678,7118897,10829769,1705645,49071,709922,2600640
130,144480,38093.7,129518716,10355611,35727816,4394266,50427077,144480,53662,7455788,11004451,1781269,49164,711268,2600640
131,144480,33092.2,112513378,9750928,32925476,3189165,40739509,144480,53769,6808016,10019203,1616512,49237,712725,2600640
132,144480,32876.6,111780032,9930312,32712221,2992076,40427757,144480,53527,6834161,9928255,1546700,49279,713295,2600640
133,144480,32527.9,110595030,9719410,32476983,2941583,39978482,144480,53952,6773217,9839976,1563413,49362,715370,2600640
134,144480,38057.2,129394349,10221352,35610385,4509375,50514121,144480,53678,7417670,10845780,1755836,49440,715862,2600640
135,144480,32945.1,112012524,9766364,33306938,2967050,40248832,144480,53677,6900561,10382967,1611294,49519,717012,2600640
136,144480,32790.8,111488210,9858402,32755123,2991003,40219934,144480,53908,6810555,9971079,1551974,49589,718581,2600640
137,144480,32623.6,110920138,9741306,32517582,2957031,40038578,144480,53742,6795977,9859992,1577255,49671,719419,2600640
138,144480,33228.9,112977716,9956118,33066462,3044845,40772277,144480,53529,6949517,10072986,1552858,49751,720693,2600640
139,144480,54487.9,185255154,15510732,54238764,6233902,65830892,144480,53545,9889982,20410730,2049559,49797,722113,2600640
140,144480,59301.5,201621176,16155916,63959366,7032724,71332864,144480,53649,14354958,21535076,4358255,49837,722835,2600640
141,144480,40698.6,138371672,11285722,41384562,4394380,50395489,144480,53642,8617293,13498178,2329294,49907,723430,2600640
142,144480,34843.3,118466916,10393426,34777928,3291854,42678821,144480,53756,7238796,10831215,1631029,49921,724501,2600640
143,144480,32555.0,110686354,9745828,32549128,2947130,39909579,144480,53592,6853026,9837348,1532587,49931,724964,2600640
144,144480,32706.0,111200570,9927694,32710649,2966114,39969958,144480,53597,6859734,9910054,1574371,50012,726454,2600640
145,144480,32715.8,111233652,9821512,32713427,2983861,39954474,144480,53649,6789484,9877832,1542665,50047,727396,2600640
146,144480,33159.2,112740770,9864726,33029556,3015592,40864011,144480,53691,6929532,10055329,1555897,50112,728151,2600640
147,144480,36928.4,125556432,10109594,34407439,4287756,48749073,144480,53652,7056934,10561999,1665119,50184,729358,2600640
148,144480,37187.4,126436998,9942722,34739325,4352375,49364979,144480,53689,7187037,10614101,1665531,50209,730410,2600640
149,144480,36829.2,125219197,9880502,34561437,4273749,48819720,144480,53513,7116524,10524293,1651092,50271,731358,2600640
150,144480,33732.8,114691418,10046320,33733898,3052881,41338099,144480,53722,7090942,10265826,1612831,50296,731641,2600640
151,144480,32670.5,111079054,9733078,32563727,2958080,40082028,144480,53895,6811268,9892460,1550045,50297,731930,2600640
152,144480,32744.7,111331946,9821444,32583522,2959222,40116189,144480,53520,6861873,9841260,1539265,50368,732797,2600640
153,144480,32605.3,110857986,9716248,32578155,2948901,40070864,144480,53965,6835237,9899906,1545283,50404,733478,2600640
154,144480,32581.7,110777542,9740898,32629304,2977939,39843230,144480,53809,6775374,9858319,1543988,50490,734083,2600640
155,144480,32799.2,111517212,9911918,32710467,2982739,40191790,144480,53791,6836406,9919608,1544697,50533,734558,2600640
156,144480,35183.5,119623798,9791762,33494754,3917224,45327843,144480,53900,6822143,10294045,1583321,50539,735010,2600640
157,144480,32643.7,110988308,9768030,32647014,2953680,39953622,144480,53741,6759777,9915794,1539556,50598,736122,2600640
158,144480,37245.6,126634980,9856668,34764823,4307995,49803761,144480,53858,7039866,10775617,1684757,50656,736863,2600640
159,144480,37255.8,126669640,9889853,34939310,4295984,49605452,144480,53757,7091631,10775077,1703404,50676,738009,2600640
160,144480,32600.7,110842380,9709312,32632956,2976914,39909451,144480,53851,6776030,9894813,1546573,50751,738925,2600640
161,144480,32560.0,110703592,9719104,32654537,2948238,39838951,144480,53628,6796818,9834748,1535260,50835,740027,2600640
162,144480,33004.9,112216218,9953942,32990868,2997475,40321778,144480,53863,6859342,10026257,1551408,50877,740377,2600640
