frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
138,144480,32019.7,108867388,9749262,32524120,2784793,38016361,144480,53270,7053979,9469659,1554272,49640,720917,2600640,0,0
139,144480,32129.9,109241422,9633152,32590451,2786076,38220389,144480,53748,7124029,9457024,1558114,49705,721635,2600640,0,0
140,144480,36837.8,125247848,9897740,36508397,4335488,47608032,144480,53584,7407388,10093144,1711635,49791,723281,2600640,0,0
141,144480,32470.2,110398408,9725088,33054147,2821495,38627732,144480,53891,7111566,9817047,1567150,49837,723935,2600640,0,0
142,144480,32622.8,110917160,9828176,33227613,2881207,38752149,144480,53535,7219201,9679334,1692641,49916,725337,2600640,0,0
143,144480,32348.3,109983608,9744230,32960016,2790505,38460794,144480,53531,7170504,9668224,1567451,49982,726473,2600640,0,0
144,144480,36711.0,124816856,9857280,36287053,4321279,47433295,144480,53299,7420234,9918681,1697180,50019,726896,2600640,0,0
145,144480,35927.7,122153976,9823348,35828974,4179155,45831149,144480,53872,7505828,9976262,1698291,50099,728127,2600640,0,0
146,144480,32584.6,110787062,9831746,33070114,2862081,38612195,144480,53491,7197137,9747022,1563464,50195,729401,2600640,0,0
147,144480,35874.3,121972382,9747664,35501921,4140197,46036095,144480,53507,7316279,9830038,1695841,50226,730050,2600640,0,0
148,144480,35173.3,119587766,10014768,37329765,3274231,41929293,144480,53425,8093762,11434497,2087059,50289,730788,2600640,0,0
149,144480,33452.4,113737854,10041560,34143413,2884712,39873927,144480,53572,7826253,9840778,1623755,50305,731223,2600640,0,0
150,144480,32671.1,111081808,9793836,33416079,2865548,38984746,144480,53806,7285734,9788850,1594957,50413,732995,2600640,0,0
151,144480,36827.7,125214029,9903895,36745831,4408776,47511161,144480,53709,7560233,10211958,1745355,50504,733978,2600640,0,0
152,144480,33261.1,113087502,9929224,33694109,2938784,39668398,144480,53755,7319495,9970776,1590841,50541,735002,2600640,0,0
153,144480,36789.7,125084574,9850480,36684921,4300563,47373978,144480,53796,7524968,10200277,1722741,50612,736044,2600640,0,0
154,144480,48599.6,165238235,13071198,50341015,5738749,59663975,144480,53664,11374233,15959130,2675081,50642,736718,2600640,0,0
155,144480,41640.7,141577739,11293916,44491659,4177198,49616815,144480,53565,9348896,14947883,2155618,50714,738059,2600640,0,0
156,144480,33838.9,115051580,10060294,34411862,3170780,40183831,144480,53996,7317845,10289143,1621828,50817,739223,2600640,0,0
157,144480,36773.8,125023305,9943538,37287730,4327956,46439866,144480,53857,7669307,10794241,1780735,50842,739614,2600640,0,0
158,144480,33043.7,112347934,9855648,33545923,2851635,39463806,144480,53739,7157225,10025237,1596188,50863,740454,2600640,0,0
159,144480,38825.7,132006904,10519872,39325823,4475152,49047485,144480,53442,8575729,11325213,1916638,50922,741585,2600640,0,0
160,144480,32462.8,110371752,9775782,32926048,2879433,38522980,144480,53861,7118099,9646670,1557274,50969,742715,2600640,0,0
161,144480,33209.4,112911790,9875708,34929333,2798315,39047363,144480,53706,7553473,10625017,1797192,51023,743058,2600640,0,0
162,144480,32451.4,110334386,9791252,33023444,2816141,38381126,144480,53774,7182722,9649593,1615121,51065,743963,2600640,0,0
163,144480,53493.2,181873310,15567886,55980765,5312972,63583108,144480,53678,10978022,20321020,1947894,51186,745530,2600640,0,0
164,144480,54565.7,185521748,15478908,59215770,5280197,64301990,144480,53849,11567431,21939969,1962692,51267,746616,2600640,0,0
165,144480,51744.6,175928648,14688170,56006990,4928039,61121860,144480,53812,11112884,20268036,1992773,51297,748023,2600640,0,0
166,144480,43535.5,148020345,11848437,46194757,4512899,52778711,144480,53816,9848477,14998796,2579672,51368,749143,2600640,0,0
167,144480,32184.0,109425158,9655626,32832409,2846716,38198698,144480,53563,7069512,9519664,1558358,51431,750310,2600640,0,0
168,144480,32222.1,109554970,9788668,32883752,2791784,38148128,144480,53744,7114559,9598228,1560935,51465,751445,2600640,0,0
169,144480,36413.7,123806750,9888186,36107810,4174168,46937162,144480,53742,7420367,10016360,1690722,51497,751312,2600640,0,0
170,144480,32327.7,109913738,9765174,32980395,2795272,38297229,144480,53694,7132857,9680126,1582922,51553,752032,2600640,0,0
171,144480,32272.4,109726004,9705776,32829902,2776080,38395192,144480,53774,7108382,9594450,1565039,51592,752842,2600640,0,0
172,144480,52975.4,180114221,14121016,58939617,5517477,63862451,144480,53644,14284068,19565554,2828479,51655,753861,2600640,0,0
173,144480,32653.8,111019350,9608400,33364705,2952527,39187511,144480,53459,7211166,9793241,1656771,51758,755248,2600640,0,0
174,144480,37384.8,127107810,10623232,37793139,3903247,45507274,144480,53989,8004730,11504690,1924830,51773,755407,2600640,0,0
175,144480,32207.1,109503562,9710196,32943382,2788642,38046843,144480,53772,7205148,9658143,1562117,51850,756953,2600640,0,0
176,144480,32044.6,108950994,9678984,32637331,2775234,37969464,144480,53453,7117343,9475822,1549970,51899,757848,2600640,0,0
177,144480,32630.2,110942068,9870404,33347275,2830101,38575680,144480,53933,7394123,9740086,1571521,51957,758964,2600640,0,0
178,144480,38469.2,130795084,10321524,38809046,4373196,48712034,144480,53795,8125641,11101565,1849534,52007,759456,2600640,0,0
179,144480,32198.6,109474696,9653620,32596848,2823193,38318767,144480,53520,7061167,9454550,1553930,52047,760606,2600640,0,0
180,144480,32092.2,109113446,9676774,32717405,2770808,38004388,144480,53503,7079392,9585607,1565992,52100,760839,2600640,0,0
181,144480,32196.2,109466672,9765242,32770209,2787382,38029687,144480,53660,7155877,9572424,1562151,52137,762091,2600640,0,0
182,144480,32749.2,111347042,9878156,33394207,2885732,38654712,144480,53793,7177945,9922844,1566962,52209,762779,2600640,0,0
183,144480,36439.4,123894368,9719852,36518482,4231694,46937182,144480,53429,7336134,9953814,1696329,52254,763166,2600640,0,0
184,144480,36894.7,125441898,10082618,36761765,4256409,47495025,144480,53990,7467612,10207879,1746494,52292,763270,2600640,0,0
185,144480,36875.0,125374835,9927014,36821711,4211538,47328084,144480,53621,7490713,10347230,1771784,52348,763794,2600640,0,0
186,144480,36390.1,123726056,9840246,36269861,4119909,46533767,144480,54064,7377126,10157795,1726247,52363,764672,2600640,0,0
187,144480,35678.5,121306968,9790096,35615993,4029675,45223609,144480,53659,7385426,10026350,1696105,52401,765219,2600640,0,0
188,144480,32615.6,110892428,9942722,33121256,2846552,38618536,144480,53621,7124998,9560907,1575612,52396,765223,2600640,0,0
189,144480,32229.6,109579994,9755382,32784272,2792499,38031128,144480,53409,7131245,9448709,1549448,52414,766453,2600640,0,0
190,144480,34452.5,117135673,10379860,35465413,3027374,40772390,144480,53832,7883483,10537766,1686572,52473,767099,2600640,0,0
191,144480,34025.9,115687618,9749194,34859830,3665806,40885393,144480,53556,7323036,10186569,1744952,52526,767688,2600640,0,0
