frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento
305,144480,34206.7,116298360,10880599,34360662,3284400,48369439
306,144480,31203.0,106084134,9876734,29812982,2927376,44643304
307,144480,35721.7,121449629,11231591,36248636,3424571,50747343
308,144480,33729.3,114675982,10809383,34201130,3143185,47275283
309,144480,30611.3,104073408,9913153,29567630,2928307,43607837
310,144480,35408.6,120383225,11733549,35766092,3901661,50308979
311,144480,32076.1,109054527,10103287,31367531,2991518,45410389
312,144480,31494.2,107075585,10049952,30838729,2951727,44344662
313,144480,36499.3,124092866,11395282,38200081,3546995,51304025
314,144480,31530.1,107195608,9842629,29998290,2901168,45343046
315,144480,32693.0,111152086,10172292,31997734,2989881,46421880
316,144480,31463.7,106971168,9930759,30184045,2935866,44166542
317,144480,30613.7,104080426,9814379,29564119,2903593,43427211
318,144480,32551.3,110668470,10031481,31762373,3003965,46550371
319,144480,33502.5,113902585,10469621,33500419,3080553,47200080
320,144480,31033.0,105508491,9986465,29970551,2979681,44125109
321,144480,32266.1,109701065,9962598,31214908,2964556,45486630
322,144480,34878.8,118584554,10164035,34887122,3000323,49836050
323,144480,32445.5,110309804,10023271,30962441,2936704,46676708
324,144480,33982.3,115536287,9612843,31124764,2969554,51396298
325,144480,28759.9,97780668,9450997,27259105,2734250,41144345
326,144480,28023.2,95277214,9368349,26285241,2711051,39837575
327,144480,29245.1,99428665,9406311,28280255,2756301,41525411
328,144480,28894.0,98234840,9326917,27038422,2733696,41457126
329,144480,30312.4,103058811,10086035,29280942,2971706,43211127
330,144480,29443.5,100103327,9676538,28280365,2790405,41935261
331,144480,28928.4,98352854,9388744,28037589,2852392,41046841
332,144480,29063.5,98812194,9305207,28189201,2751135,41145992
333,144480,29602.5,100645216,10221321,27682522,2775134,42841977
334,144480,27841.6,94657802,9324442,26138663,2747731,39931769
335,144480,28187.7,95834457,9507174,26992888,2725398,39978086
336,144480,31101.5,105740201,10149456,29078090,2738686,44250305
337,144480,29355.8,99806184,9873217,28069170,2784670,41698103
338,144480,29184.1,99222302,9328796,27620498,2744185,42743747
339,144480,29080.9,98870031,9480425,28016918,2742165,41309472
340,144480,28287.1,96172434,9205298,26974191,2726699,40362929
341,144480,28664.2,97453486,9300639,27619006,2694542,40438086
342,144480,29538.2,100426242,9455721,28752358,2703646,41952593
343,144480,27370.3,93057864,9110703,25688710,2691146,39208868
344,144480,27865.6,94739912,9200061,26135564,2960089,39912715
