frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
100,144480,30615.8,104092798,9786968,26093521,2842305,39089850,144480,53630,4975254,5947181,1557170,46763,672519,2600640,29305,18175036179549990213
101,144480,34998.9,118995753,10072707,29847143,4737637,47701407,144480,53359,6008625,6588540,1714299,46828,673744,2600640,29216,0
102,144480,30302.4,103027888,9739130,25893298,2831447,38728884,144480,53476,4945308,5888016,1538269,46888,675104,2600640,29146,0
103,144480,34304.8,116635742,9805226,28531152,4838864,47238341,144480,53778,5437650,6292782,1608706,46936,675832,2600640,29151,0
104,144480,30434.6,103476756,9734982,26147059,2840363,38781897,144480,53827,4973061,6024235,1556861,47075,677582,2600640,29008,0
105,144480,30091.3,102306816,9606258,25926834,2789010,38441213,144480,53654,4931836,5906275,1671186,47195,679428,2600640,28863,0
106,144480,34806.3,118341358,9859558,29569700,4831863,47685722,144480,53986,5824071,6561768,1691117,47355,682444,2600640,28887,0
107,144480,30209.0,102709648,9819370,26122494,2810357,38340694,144480,53879,4972666,6023782,1546469,47391,683465,2600640,28772,0
108,144480,31401.5,106764556,9942110,27289976,3071284,39943455,144480,53690,5270941,6370829,1617897,47422,683498,2600640,28559,0
109,144480,30933.4,105168933,9869758,26742466,2966750,39418605,144480,53451,5098827,6195355,1596456,47525,685390,2600640,28210,0
110,144480,38226.1,129968539,11243800,33583514,4783782,49770726,144480,53381,6074023,8151947,2052841,47574,686225,2600640,28302,0
111,144480,32289.7,109784642,9925824,28254680,3365662,41006365,144480,53973,5567244,6687383,1677594,47641,687030,2600640,28472,0
112,144480,30568.6,103932526,9801792,26352590,2903662,38934716,144480,53616,5039066,6171475,1550031,47711,688246,2600640,28076,0
113,144480,30120.5,102409428,9767758,26052053,2770615,38175284,144480,53836,4985766,6085739,1540517,47765,689383,2600640,28096,0
114,144480,30447.5,103520820,9806620,26287840,2841106,38683235,144480,53810,4979990,6192377,1543497,47858,691220,2600640,27981,0
115,144480,32091.8,109110998,10299586,27716224,3019696,40845424,144480,53763,5140547,6695897,1605627,47994,692913,2600640,27737,0
116,144480,30474.3,103612382,9740252,26563944,2793435,38593124,144480,53825,5147866,6242786,1545957,48094,694533,2600640,27782,0
117,144480,30185.4,102629680,9640938,26208678,2763914,38397562,144480,53798,4977166,6203045,1539745,48168,696150,2600640,27582,0
118,144480,30230.9,102784788,9618770,26133982,2793130,38536836,144480,53612,5013487,6116470,1535595,48323,698642,2600640,27439,0
119,144480,31270.4,106318952,9837186,27380102,3098073,39613774,144480,53658,5384773,6507509,1611535,48424,699856,2600640,27232,0
