frame,moved,max_cheb,max_elem,gt1,gt2,gt4,gt8,gt16,gt32,gt64
330,893,97.00,OIL,743,662,556,380,191,8,1
331,886,72.00,OIL,750,656,532,377,187,10,1
332,946,41.00,OIL,795,717,587,401,197,3,0
333,960,67.00,OIL,796,700,576,416,195,4,2
334,902,49.00,OIL,744,667,535,365,178,4,0
335,949,72.00,OIL,806,725,590,403,194,8,1
336,994,156.00,OIL,862,753,639,460,245,9,6
337,995,101.00,OIL,856,762,636,456,201,8,1
338,957,134.00,OIL,796,700,581,421,200,7,4
339,882,79.00,OIL,733,647,549,407,197,7,1
340,985,44.00,OIL,836,762,644,455,188,2,0
341,998,67.00,OIL,850,769,615,432,190,2,1
342,968,65.00,OIL,818,731,596,392,168,9,2
343,1005,65.00,OIL,836,741,613,438,211,8,1
344,1037,165.00,OIL,844,757,624,447,214,6,1
345,951,106.00,OIL,791,689,569,379,173,5,2
346,955,95.00,OIL,805,718,587,403,198,6,3
347,896,83.00,OIL,739,647,522,386,192,4,1
348,946,107.00,OIL,798,704,576,400,198,11,5
349,931,74.00,OIL,773,699,565,377,180,5,1
350,967,41.00,OIL,804,718,581,392,192,2,0
351,1012,97.00,OIL,858,778,635,437,183,8,3
352,910,57.00,OIL,742,677,538,360,170,5,0
353,958,84.00,OIL,807,732,609,406,188,4,1
354,997,128.00,OIL,846,762,613,435,191,5,1
355,970,111.00,OIL,810,726,591,385,172,4,2
356,938,65.00,OIL,793,702,570,392,185,8,1
357,892,115.00,OIL,747,665,525,347,160,2,1
358,803,109.00,OIL,666,564,453,302,117,2,1
359,818,86.00,OIL,667,567,455,300,156,2,1
360,856,153.00,OIL,700,621,501,341,158,3,1
361,850,117.00,OIL,702,620,498,339,163,5,3
362,888,118.00,OIL,760,681,560,369,167,6,3
363,903,132.00,OIL,760,676,565,403,181,9,4
364,892,87.00,OIL,751,667,544,380,161,7,2
365,896,182.00,OIL,768,684,562,370,168,9,5
366,876,94.00,OIL,742,676,547,366,175,4,2
367,843,81.00,OIL,715,642,508,338,169,2,1
368,824,165.00,OIL,712,634,501,313,119,2,2
369,865,71.00,OIL,730,652,492,337,154,5,2
370,926,118.00,OIL,784,690,549,366,148,6,2
371,861,147.00,OIL,725,620,481,315,131,3,3
372,894,138.00,OIL,754,664,538,350,146,3,2
373,874,145.00,OIL,747,644,527,346,166,5,1
374,833,150.00,OIL,683,601,468,306,147,2,2
375,831,280.00,OIL,692,613,477,287,139,6,1
376,805,40.00,OIL,674,578,442,269,128,6,0
377,801,73.00,OIL,661,563,433,269,118,3,1
378,782,86.00,OIL,618,521,406,263,114,2,1
379,810,89.00,OIL,671,585,466,280,118,4,2
380,782,98.00,OIL,665,584,428,263,101,2,1
381,786,149.00,OIL,630,535,412,263,122,5,4
382,815,165.00,OIL,670,577,463,311,141,3,1
383,790,211.00,OIL,626,538,434,265,125,6,4
384,764,100.00,OIL,643,549,424,252,111,4,1
385,722,52.00,OIL,583,497,370,214,96,4,0
386,738,101.00,OIL,601,510,367,226,104,6,1
387,722,54.00,OIL,587,508,379,243,102,2,0
388,685,53.00,OIL,558,478,345,198,77,4,0
389,696,114.00,OIL,552,477,350,213,103,5,2
390,685,68.00,OIL,564,474,348,217,88,2,1
391,732,72.00,OIL,608,521,397,247,105,5,3
392,799,70.00,OIL,650,559,425,269,120,7,1
393,762,101.00,OIL,621,534,410,274,134,6,3
394,682,132.00,OIL,541,448,343,201,87,3,2
395,732,104.00,OIL,599,508,382,235,112,4,2
396,785,78.00,OIL,625,529,398,275,131,6,3
397,768,104.00,OIL,585,509,379,256,120,6,2
398,739,90.00,OIL,584,496,368,237,112,5,3
399,799,95.00,OIL,664,577,429,280,113,6,2
400,768,111.00,OIL,596,501,383,250,91,5,2
401,778,139.00,OIL,603,517,376,241,97,8,3
402,774,39.00,OIL,609,502,391,259,113,1,0
403,774,30.00,OIL,626,523,395,255,108,0,0
