frame,Frame time,GameController::Update,GameModel::UpdateUpTo,GameModel::BeforeSim,Air::update_air,Simulation::DispatchNewtonianGravity,Simulation::RecalcFreeParticles,Simulation::UpdateParticles,GameModel::AfterSim
336,19342.55,8948.67,8945.64,1544.21,640.20,0.09,843.92,7399.11,1.30
337,19191.17,8973.85,8970.83,1565.43,644.75,0.09,851.03,9.64,7403.07,1.30
338,19036.08,9029.43,9026.44,1601.19,668.79,0.09,863.06,7422.93,1.28
339,18978.44,9204.06,9201.09,1640.94,666.16,0.11,906.28,7557.83,1.27
340,19322.86,9111.70,9108.68,1620.79,661.82,0.11,891.98,7485.58,1.27
341,19198.79,9094.32,9091.26,1614.09,664.86,0.10,882.89,7474.86,1.27
342,18915.20,8979.28,8976.26,1594.70,659.33,0.10,870.45,7379.23,1.28
343,18791.09,8916.83,8913.75,1601.20,669.77,0.10,867.53,7310.20,1.28
344,18672.69,8916.51,8913.30,1595.16,674.25,0.10,858.15,7315.64,1.38
345,18563.37,8970.40,8967.18,1594.27,674.75,0.10,857.90,7370.33,1.45
346,19167.93,9013.46,9010.28,1576.68,664.70,0.10,850.24,7431.05,1.42
347,18944.05,8990.31,8987.20,1564.85,670.06,0.10,834.17,7419.82,1.41
348,18736.05,8935.82,8932.68,1594.22,671.79,0.10,862.74,7335.95,1.40
349,18543.85,8863.29,8860.07,1592.63,662.87,0.10,870.88,7264.96,1.38
350,18467.11,8867.86,8864.60,1613.21,675.87,0.10,879.22,7248.92,1.37
351,18243.70,8802.93,8799.59,1612.18,680.79,0.10,873.97,7184.97,1.34
352,18176.99,8814.31,8811.05,1598.22,683.62,0.10,851.40,6.46,7210.41,1.33
353,17938.77,8719.62,8716.40,1580.78,680.83,0.09,836.51,7133.26,1.30
354,17920.52,8734.19,8731.04,1561.97,684.99,0.09,814.67,7166.72,1.29
355,17713.48,8659.50,8656.39,1547.40,676.77,0.09,804.13,5.49,7106.64,1.29
356,17725.53,8693.32,8690.14,1542.99,685.20,0.09,792.60,7144.73,1.32
357,17453.13,8570.38,8567.21,1536.75,689.88,0.09,781.59,7028.05,1.32
358,17348.41,8449.86,8446.71,1529.07,691.30,0.09,773.73,6915.27,1.29
359,17317.13,8398.85,8395.76,1541.26,693.99,0.09,778.31,6.01,6852.16,1.28
360,17202.70,8324.85,8321.71,1527.71,690.45,0.09,769.59,6791.67,1.27
361,17287.51,8425.90,8422.77,1543.74,695.02,0.09,767.55,13.21,6876.71,1.27
362,17798.45,8353.03,8349.83,1542.70,690.52,0.11,772.78,6804.80,1.27
363,17664.77,8265.60,8262.46,1547.67,686.02,0.11,784.22,6712.47,1.25
364,17572.79,8173.47,8170.35,1539.40,679.47,0.11,784.50,6628.67,1.23
365,17541.04,8157.74,8154.62,1531.25,684.60,0.11,772.77,6621.05,1.27
